nivel;data_Atual;status;mensagem;nome_video
INFO;20_04_2023;OK;Preparar ambiente finalizado com sucesso;-
INFO;20_04_2023;OK;Preparar ambiente finalizado com sucesso;-
INFO;20_04_2023;OK;Preparar ambiente finalizado com sucesso;-
INFO;20_04_2023;OK;Preparar ambiente finalizado com sucesso;-
INFO;20_04_2023;OK;Preparar ambiente finalizado com sucesso;-
INFO;20_04_2023;OK;Preparar ambiente finalizado com sucesso;-
INFO;20_04_2023;OK;Preparar ambiente finalizado com sucesso;-
INFO;20_04_2023;OK;Preparar ambiente finalizado com sucesso;-
INFO;20_04_2023;OK;Preparar ambiente finalizado com sucesso;-
INFO;20_04_2023;OK;Preparar ambiente finalizado com sucesso;-
INFO;20_04_2023;OK;Preparar ambiente finalizado com sucesso;-
INFO;20_04_2023;OK;Preparar ambiente finalizado com sucesso;-
INFO;20_04_2023;OK;Preparar ambiente finalizado com sucesso;-
INFO;20_04_2023;OK;Preparar ambiente finalizado com sucesso;-
INFO;20_04_2023;OK;Preparar ambiente finalizado com sucesso;-
INFO;20_04_2023;OK;Preparar ambiente finalizado com sucesso;-
INFO;20_04_2023;OK;Preparar ambiente finalizado com sucesso;-
INFO;20_04_2023;OK;Preparar ambiente finalizado com sucesso;-
INFO;20_04_2023;OK;Preparar ambiente finalizado com sucesso;-
INFO;20_04_2023;OK;Preparar ambiente finalizado com sucesso;-
INFO;20_04_2023;OK;Preparar ambiente finalizado com sucesso;-
INFO;20_04_2023;OK;Preparar ambiente finalizado com sucesso;-
INFO;20_04_2023;OK;Preparar ambiente finalizado com sucesso;-
INFO;20_04_2023;OK;Preparar ambiente finalizado com sucesso;-
INFO;20_04_2023;OK;Preparar ambiente finalizado com sucesso;-
INFO;20_04_2023;OK;Preparar ambiente finalizado com sucesso;-
INFO;20_04_2023;OK;Preparar ambiente finalizado com sucesso;-
